# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Database of the Kanchi-in Manuscript of Ruiju Myōgishō
#
# Ruiju myogishō 類聚名義抄, Kanchi-in manuscript 観智院本, reorganized edition 改編本.
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_pronunciations.tsv
#
# Version: 1.2.13 (latest, DHSJR format)
# Date published: May 20, 2025
# Last modified: August 18, 2026
#
#
# Copyright (c) 2025-2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# The Phonetic Glosses in the Kanchi-in manuscript of the Ruiju Myōgishō include Fanqie spellings (反切), Similar sound notes (類音注, ruion-chū), and Kana glosses (仮名注, kana-chū). 
# These are often accompanied by Tone marks (声点, shōten).
# As a database for Sino-Japanese pronunciations, the "Database of Historical Sino-Japanese Readings" (abbreviated as DHSJR), developed by Professor Katō Taitsuru and others, offers exceptionally rich content. 
# Its specifications are also publicly available in detail. 
# Accordingly, as part of the HDIC project, we have decided to release data in accordance with the DHSJR specifications.
#
# The DHSJR defines a data structure with 23 column names.
# To facilitate linkage with the Ruiju Myōgishō data included in HDIC, it is necessary for HDIC to assign unique column names to its own data files and to establish Primary Keys and Foreign Keys for interoperability between HDIC's internal data files.
# For this purpose, pronunciation_id (音注ID) has been set as the Primary Key, and definition_seq_id (注文ID) as the Foreign Key.
# Since the Ruiju Myōgishō features diverse formats for its Phonetic Glosses, a classification field named annotation_format (音注型) has been established to categorize them.
# While DHSJR uses Japanese column names, HDIC employs English ones. Therefore, for data processing convenience within HDIC, English column names have been adopted.
#
# KRM format information:
# dhsjr_id	DHSJR unique ID for each single Hanzi (Chinese character) (integrated data only).
# 	       (This column is currently empty. The data will be added once the official IDs are finalized by the DHSJR project.)
# pronunciation_id	ID for each Phonetic Gloss. This is derived from definition_seq_id by extracting only those elements where the type (from definition_type_name in krm_notes) is Phonetic Gloss. Suffixes 'b', 'c', 'd' are appended for variant forms.
# definition_seq_id	An identifier for each component of the Definition (Original Glosses) or for the Headword itself within an Entry. It is formed by appending a sequential suffix (e.g., "_00" for the Headword, "_01", "_02" for subsequent elements) to the corresponding entry_id.
# material_id	Material ID
# material_name	Name of the material
# material_character_index	Sequential number of a Hanzi (Chinese character)'s appearance in the material.
#                           Numbers 1–27978 correspond to the physical order of characters in the original manuscript.
#                           Numbers 30001 and above are assigned to records added after the initial encoding
#                           (e.g., annotation characters newly identified as requiring separate entries)
#                           and do not correspond to physical positions in the manuscript.
# material_word_index	Sequential number of a Chinese word's appearance in the material
# character_headword	Headword column for Hanzi (Chinese characters) with Phonetic Glosses
# character_form	Hanzi (Chinese characters) that have Phonetic Glosses
# word_headword	Headword column of Chinese words containing Hanzi (Chinese characters) with Phonetic Glosses
# word_form	Chinese words containing Hanzi (Chinese characters) with Phonetic Glosses
# word_alpha	Entered when there is an alphabetic representation of the Chinese word
# word_type	Indicates the word type when there are mixed-language words (e.g., hybrid Sino-Japanese words)
# word_position	Position of the single Hanzi (Chinese character) within the Chinese word
# character_mora_count	Number of morae for the single Hanzi (Chinese character)
# tone_marks	Tone marks for single Hanzi (Chinese characters), indicating Four Tones (平上去入), Six Tones (平平軽上去入軽入), and voicing (清濁).
# tone_pattern	Combination of Tone marks for Chinese words. Hanzi (Chinese characters) without Tone marks are represented by a full-width asterisk (＊).
# kana_notes	Kana glosses (仮名注) for Hanzi (Chinese characters), including kana-based fanqie.
# kana_pattern	Combination of Kana glosses for Chinese words. Hanzi (Chinese characters) without Kana glosses are represented by a full-width asterisk (＊).
# fanqie	Fanqie spellings (反切) for single Hanzi (Chinese characters).
# similar_sound	Similar sound notes (類音注) for single Hanzi (Chinese characters).
# annotation_format	Pattern of combined phonetic information (e.g., Kana glosses, Fanqie spellings, Similar sound notes, Tone marks).
# fushi_hakase	Fushi-hakase notations (melodic or intonational markings) attached to musical materials such as Shōmyō (Buddhist chant).
# other_phonetic_annotations	Other types of Phonetic Glosses.
# material_location	Location of single Hanzi (Chinese characters) and Chinese words within the material.
# remarks_pronunciation	Matters to be noted regarding these phonetic elements.
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500, 25K00466 and 26K21717.
#
pronunciation_id	definition_seq_id	material_id	material_name	material_character_index	material_word_index	character_headword	character_form	word_headword	word_form	word_alpha	word_type	word_position	character_mora_count	tone_marks	tone_pattern	kana_notes	kana_pattern	fanqie	similar_sound	fushi_hakase	other_phonetic_annotations	material_location	annotation_format	remarks_pronunciation
F06827_01	F06827_01	30-048-02	類聚名義抄_天理図書館_観智院本	6261	5020	彡	彡	彡	彡									先廉反				K0303181	音注声点無_反切	
F06828_01	F06828_01	30-048-02	類聚名義抄_天理図書館_観智院本	6262	5021	形	形	形	形					平	平				音刑（平）			K0303182	音注声点有_類音注等	
F06828_01b	F06828_01	30-048-02	類聚名義抄_天理図書館_観智院本	6263	5021	刑	刑	刑	刑					平	平				音刑（平）			K0303182	音注声点有_類音注等	音注字
F06829_03	F06829_03	30-048-02	類聚名義抄_天理図書館_観智院本	6264	5023	形	形	形	形							和キヤウ（N＊上-N）						K0303184	音注和音声点有	
F06831_01	F06831_01	30-048-02	類聚名義抄_天理図書館_観智院本	6265	5024	彰	彰	彰	彰					平	平				音章（平）			K0303212	音注声点有_類音注等	
F06831_01b	F06831_01	30-048-02	類聚名義抄_天理図書館_観智院本	6266	5024	章	章	章	章					平	平				音章（平）			K0303212	音注声点有_類音注等	音注字
F06832_01	F06832_01	30-048-02	類聚名義抄_天理図書館_観智院本	6267	5026	彫	彫	彫	彫					平	平				音貂（平）			K0303214	音注声点有_類音注等	
F06832_01b	F06832_01	30-048-02	類聚名義抄_天理図書館_観智院本	6268	5026	貂	貂	貂	貂					平	平				音貂（平）			K0303214	音注声点有_類音注等	音注字
F06832_10	F06832_10	30-048-02	類聚名義抄_天理図書館_観智院本	6269	5026	彫	彫	彫	彫							和テウ（平＊）						K0303214	音注和音声点有	
F06833_01	F06833_01	30-048-02	類聚名義抄_天理図書館_観智院本	6270	5028	影	影	影	影									於景反				K0303222	音注声点無_反切	
F06835_01	F06835_01	30-048-02	類聚名義抄_天理図書館_観智院本	6271	5029	彤	彤	彤	彤										同融二音			K0303231	音注声点無_類音注等	
F06836_02	F06836_02	30-048-02	類聚名義抄_天理図書館_観智院本	6272	5030	肜	肜	肜	肜									音又勅林反				K0303232	音注声点無_類音注等	
F06838_02	F06838_02	30-048-02	類聚名義抄_天理図書館_観智院本	6273	5031	彯	彯	彯	彯									疋眇反				K0303234	音注声点無_反切	
F06840_02	F06840_02	30-048-02	類聚名義抄_天理図書館_観智院本	6274	5032	𩇕	𩇕	𩇕	𩇕									自井反				K0303243	音注声点無_反切	
F06841_01	F06841_01	30-048-02	類聚名義抄_天理図書館_観智院本	6275	5033	彩	彩	彩	彩					上	上				音采（上）			K0303251	音注声点有_類音注等	
F06841_01b	F06841_01	30-048-02	類聚名義抄_天理図書館_観智院本	6276	5033	采	采	采	采					上	上				音采（上）			K0303251	音注声点有_類音注等	音注字
F06841_07	F06841_07	30-048-02	類聚名義抄_天理図書館_観智院本	6277	5033	彩	彩	彩	彩							和サイ（平平）						K0303251	音注和音声点有	
F06843_01	F06843_01	30-048-02	類聚名義抄_天理図書館_観智院本	6278	5035	彭	彭	彭	彭									蒲衡浦衝「衡イ」二反				K0303253	音注声点無_反切	
F06848_01	F06848_01	30-048-02	類聚名義抄_天理図書館_観智院本	6279	5036	彪	彪	彪	彪									補虬反				K0303271	音注声点無_反切	
F06853_01	F06853_01	30-048-02	類聚名義抄_天理図書館_観智院本	6280	5037	髟	髟	髟	髟										音彪			K0303311	音注声点無_類音注等	
F06853_05	F06853_05	30-048-02	類聚名義抄_天理図書館_観智院本	6281	5037	髟	髟	髟	髟										又音衫			K0303311	音注声点無_類音注等	
F06854_01	F06854_01	30-048-02	類聚名義抄_天理図書館_観智院本	6282	5038	長	長	長	長									直良反				K0303312	音注声点無_反切	
F06854_16	F06854_16	30-048-02	類聚名義抄_天理図書館_観智院本	6283	5038	長	長	長	長												又去	K0303312	音注声調	
F06854_17	F06854_17	30-048-02	類聚名義抄_天理図書館_観智院本	6284	5038	長	長	長	長							又チヤウ（＊＊上-N）						K0303312	音注和音声点有	
F06854_18	F06854_18	30-048-02	類聚名義抄_天理図書館_観智院本	6285	5038	長	長	長	長							和チヤウ（＊＊上-N）						K0303312	音注和音声点有	
F06861_01	F06861_01	30-048-02	類聚名義抄_天理図書館_観智院本	6286	5039	肆	肆	肆	肆					平／去	平／去				音四（平／去）			K0303331	音注声点有_類音注等	
F06861_01b	F06861_01	30-048-02	類聚名義抄_天理図書館_観智院本	6287	5039	四	四	四	四					平／去	平／去				音四（平／去）			K0303331	音注声点有_類音注等	音注字
F06863_01	F06863_01	30-048-02	類聚名義抄_天理図書館_観智院本	6288	5041	镾	镾	镾	镾										音弥			K0303344	音注声点無_類音注等	
F06864_01	F06864_01	30-048-02	類聚名義抄_天理図書館_観智院本	6289	5042	镻	镻	镻	镻									田結反				K0303351	音注声点無_反切	
F06865_01	F06865_01	30-048-02	類聚名義抄_天理図書館_観智院本	6290	5043	镺	镺	镺	镺									烏道［反］				K0303352	音注声点無_反切	
F06866_01	F06866_01	30-048-02	類聚名義抄_天理図書館_観智院本	6291	5044	𨱵	𨱵	𨱵	𨱵										音道			K0303353	音注声点無_類音注等	
F06866_02	F06866_02	30-048-02	類聚名義抄_天理図書館_観智院本	6292	5044	𨱵	𨱵	𨱵	𨱵										又𢙉			K0303353	音注声点無_類音注等	
F06868_01	F06868_01	30-048-02	類聚名義抄_天理図書館_観智院本	6293	5104	镽	镽	镽	镽										音丁			K0303641	音注声点無_類音注等	
F06871_01	F06871_01	30-048-02	類聚名義抄_天理図書館_観智院本	6294	5105	𨲭	𨲭	𨲭	𨲭									渠夭反				K0303644	音注声点無_反切	
F06873_01	F06873_01	30-048-02	類聚名義抄_天理図書館_観智院本	6295	5106	䦋	䦋	䦋	䦋										音敖			K03036521	音注声点無_類音注等	
F06875_01	F06875_01	30-048-02	類聚名義抄_天理図書館_観智院本	6296	5107	𨱧	𨱧	𨱧	𨱧										音杳			K0303653	音注声点無_類音注等	
F06877_01	F06877_01	30-048-02	類聚名義抄_天理図書館_観智院本	6297	5108	𨲂	𨲂	𨲂	𨲂									奴烏反				K0303661	音注声点無_反切	
F06878_01	F06878_01	30-048-02	類聚名義抄_天理図書館_観智院本	6298	5109	髟	髟	髟	髟									所銜（平）反				K0303662	音注声点有_反切	
F06878_01b	F06878_01	30-048-02	類聚名義抄_天理図書館_観智院本	6299	5109	銜	銜	銜	銜					平	平							K0303662	音注声点有_反切	反切下字
F06878_03	F06878_03	30-048-02	類聚名義抄_天理図書館_観智院本	6300	5109	髟	髟	髟	髟									又北聊反				K0303662	音注声点無_反切	
F06879_02	F06879_02	30-048-02	類聚名義抄_天理図書館_観智院本	6301	5111	𨱝	𨱝	𨱝	𨱝									徒乱反				K0303663	音注声点無_反切	
F06880_01	F06880_01	30-048-02	類聚名義抄_天理図書館_観智院本	6302	5112	⿲镸亻毛	⿲镸亻毛	⿲镸亻毛	⿲镸亻毛									徒軟反				K0303664	音注声点無_反切	
F06881_01	F06881_01	30-048-02	類聚名義抄_天理図書館_観智院本	6303	5113	髭	髭	髭	髭										音茲			K0303671	音注声点無_類音注等	
F06884_01	F06884_01	30-048-02	類聚名義抄_天理図書館_観智院本	6304	5114	䰅	䰅	䰅	䰅					平	平				音須（平）			K0303673	音注声点有_類音注等	
F06884_01b	F06884_01	30-048-02	類聚名義抄_天理図書館_観智院本	6305	5114	須	須	須	須					平	平				音須（平）			K0303673	音注声点有_類音注等	音注字
F06884_04	F06884_04	30-048-02	類聚名義抄_天理図書館_観智院本	6306	5114	䰅	䰅	䰅	䰅							和シ						K0303673	音注和音声点無	
F06886_01	F06886_01	30-048-02	類聚名義抄_天理図書館_観智院本	6307	5116	髯	髯	髯	髯									如占（平）反				K0303681	音注声点有_反切	
F06886_01b	F06886_01	30-048-02	類聚名義抄_天理図書館_観智院本	6308	5116	占	占	占	占					平	平							K0303681	音注声点有_反切	反切下字
F06887_01	F06887_01	30-048-02	類聚名義抄_天理図書館_観智院本	6309	5118	鬣	鬣	鬣	鬣									良渉反				K0303682	音注声点無_反切	
F06889_01	F06889_01	30-048-02	類聚名義抄_天理図書館_観智院本	6310	5119	髣	髣	髣	髣									芳兩反				K0303712	音注声点無_反切	
F06890_01	F06890_01	30-048-02	類聚名義抄_天理図書館_観智院本	6311	5120	髴	髴	髴	髴										音沸			K0303714	音注声点無_類音注等	
F06890_02	F06890_02	30-048-02	類聚名義抄_天理図書館_観智院本	6312	5120	髴	髴	髴	髴									芳未反				K0303714	音注声点無_反切	
F06891_01	F06891_01	30-048-02	類聚名義抄_天理図書館_観智院本	6313	5121	䰂	䰂	䰂	䰂									千代反				K0303722	音注声点無_反切	
F06892_01	F06892_01	30-048-02	類聚名義抄_天理図書館_観智院本	6314	5122	鬘	鬘	鬘	鬘										音蠻			K0303723	音注声点無_類音注等	
F06895_01	F06895_01	30-048-02	類聚名義抄_天理図書館_観智院本	6315	5123	髻	髻	髻	髻					平	平				音計（平）			K0303732	音注声点有_類音注等	
F06895_01b	F06895_01	30-048-02	類聚名義抄_天理図書館_観智院本	6316	5123	計	計	計	計					平	平				音計（平）			K0303732	音注声点有_類音注等	音注字
F06895_03	F06895_03	30-048-02	類聚名義抄_天理図書館_観智院本	6317	5123	髻	髻	髻	髻							和又ケイ						K0303732	音注和音声点無	
F06897_01	F06897_01	30-048-02	類聚名義抄_天理図書館_観智院本	6318	5125	髺	髺	髺	髺										活括二音			K0303734	音注声点無_類音注等	
F06900_01	F06900_01	30-048-02	類聚名義抄_天理図書館_観智院本	6319	5126	髫	髫	髫	髫									徒彫反				K0303743	音注声点無_反切	
F06901_01	F06901_01	30-048-02	類聚名義抄_天理図書館_観智院本	6320	5127	𩬑	𩬑	𩬑	𩬑									丁念反				K0303744	音注声点無_反切	
F06903_01	F06903_01	30-048-02	類聚名義抄_天理図書館_観智院本	6321	5128	髦	髦	髦	髦										音毛			K0303752	音注声点無_類音注等	
F06907_01	F06907_01	30-048-02	類聚名義抄_天理図書館_観智院本	6322	5129	髾	髾	髾	髾					平	平				音梢（平）			K0303764	音注声点有_類音注等	
F06907_01b	F06907_01	30-048-02	類聚名義抄_天理図書館_観智院本	6323	5129	梢	梢	梢	梢					平	平				音梢（平）			K0303764	音注声点有_類音注等	音注字
F06909_01	F06909_01	30-048-02	類聚名義抄_天理図書館_観智院本	6324	5131	䯹	䯹	䯹	䯹									思念反				K0303773	音注声点無_反切	
F06910_01	F06910_01	30-048-02	類聚名義抄_天理図書館_観智院本	6325	5132	𨲒	𨲒	𨲒	𨲒										音求			K0303774	音注声点無_類音注等	
F06912_02	F06912_02	30-048-02	類聚名義抄_天理図書館_観智院本	6326	5133	⿰镸昜	⿰镸昜	⿰镸昜	⿰镸昜						　				音堂			K0303782	音注声点無_類音注等	
F06914_01	F06914_01	30-048-02	類聚名義抄_天理図書館_観智院本	6327	5134	髮	髮	髮	髮									走孔反				K0303784	音注声点無_反切	
F06915_01	F06915_01	30-048-02	類聚名義抄_天理図書館_観智院本	6328	5135	鬉	鬉	鬉	鬉									祖公反				K0303811	音注声点無_反切	
F06918_01	F06918_01	30-048-02	類聚名義抄_天理図書館_観智院本	6329	5136	鬐	鬐	鬐	鬐									巨支反				K0303821	音注声点無_反切	
F06919_01	F06919_01	30-048-02	類聚名義抄_天理図書館_観智院本	6330	5137	䰌	䰌	䰌	䰌										音惣			K0303823	音注声点無_類音注等	
F06921_01	F06921_01	30-048-02	類聚名義抄_天理図書館_観智院本	6331	5138	𩮳	𩮳	𩮳	𩮳										音漂			K0303831	音注声点無_類音注等	
F06924_01	F06924_01	30-048-02	類聚名義抄_天理図書館_観智院本	6332	5139	𨱫	𨱫	𨱫	𨱫										紺鉗二音			K0303833	音注声点無_類音注等	
F06925_01	F06925_01	30-048-02	類聚名義抄_天理図書館_観智院本	6333	5140	鬇	鬇	鬇	鬇									士爭反				K0303834	音注声点無_反切	
F06927_01	F06927_01	30-048-02	類聚名義抄_天理図書館_観智院本	6334	5141	鬀	鬀	鬀	鬀										音剃			K03038421	音注声点無_類音注等	
F06929_01	F06929_01	30-048-02	類聚名義抄_天理図書館_観智院本	6335	5142	𩭗	𩭗	𩭗	𩭗										音甫			K03038431	音注声点無_類音注等	
F06931_01	F06931_01	30-048-02	類聚名義抄_天理図書館_観智院本	6336	5143	髽	髽	髽	髽									莊瓜反				K0303844	音注声点無_反切	
F06935_01	F06935_01	30-048-02	類聚名義抄_天理図書館_観智院本	6337	5144	鬢	鬢	鬢	鬢					去	去				音擯（去）			K0303854	音注声点有_類音注等	
F06935_01b	F06935_01	30-048-02	類聚名義抄_天理図書館_観智院本	6338	5144	擯	擯	擯	擯					去	去				音擯（去）			K0303854	音注声点有_類音注等	音注字
F06935_02	F06935_02	30-048-02	類聚名義抄_天理図書館_観智院本	6339	5144	鬢	鬢	鬢	鬢												俗云本音濁	K0303854	音注声調	
F06935_05	F06935_05	30-048-02	類聚名義抄_天理図書館_観智院本	6340	5144	鬢	鬢	鬢	鬢							和鼻ン（＊上）						K0303854	音注和音声点有	
F06938_01	F06938_01	30-048-02	類聚名義抄_天理図書館_観智院本	6341	5045	𨲬	𨲬	𨲬	𨲬										音務			K0303363	音注声点無_類音注等	
F06940_01	F06940_01	30-048-02	類聚名義抄_天理図書館_観智院本	6342	5046	⿱髟夅	⿱髟夅	⿱髟夅	⿱髟夅										音蓬			K0303371	音注声点無_類音注等	
F06942_01	F06942_01	30-048-02	類聚名義抄_天理図書館_観智院本	6343	5047	鬊	鬊	鬊	鬊										音舜			K0303373	音注声点無_類音注等	
F06944_01	F06944_01	30-048-02	類聚名義抄_天理図書館_観智院本	6344	5048	⿱髟左	⿱髟左	⿱髟左	⿱髟左									才何反				K0303381	音注声点無_反切	
F06946_01	F06946_01	30-048-02	類聚名義抄_天理図書館_観智院本	6345	5049	鬌	鬌	鬌	鬌										音埵「⿰土䍃イ」			K0303383	音注声点無_類音注等	
F06946_02	F06946_02	30-048-02	類聚名義抄_天理図書館_観智院本	6346	5049	鬌	鬌	鬌	鬌									又丈追反				K0303383	音注声点無_反切	
F06947_01	F06947_01	30-048-02	類聚名義抄_天理図書館_観智院本	6347	5050	鬗	鬗	鬗	鬗									莫干反				K0303411	音注声点無_反切	
F06948_01	F06948_01	30-048-02	類聚名義抄_天理図書館_観智院本	6348	5051	䰐	䰐	䰐	䰐									力甘反				K0303412	音注声点無_反切	
F06949_01	F06949_01	30-048-02	類聚名義抄_天理図書館_観智院本	6349	5052	鬈	鬈	鬈	鬈										音㩲			K0303413	音注声点無_類音注等	
F06950_01	F06950_01	30-048-02	類聚名義抄_天理図書館_観智院本	6350	5053	䰓	䰓	䰓	䰓									亡仙反				K0303414	音注声点無_反切	
F06951_01	F06951_01	30-048-02	類聚名義抄_天理図書館_観智院本	6351	5054	鬑	鬑	鬑	鬑									未兼反				K0303421	音注声点無_反切	
F06953_01	F06953_01	30-048-02	類聚名義抄_天理図書館_観智院本	6352	5055	䯾	䯾	䯾	䯾									丁么反				K0303423	音注声点無_反切	
F06954_01	F06954_01	30-048-02	類聚名義抄_天理図書館_観智院本	6353	5056	䰉	䰉	䰉	䰉										音槃			K0303424	音注声点無_類音注等	
F06955_01	F06955_01	30-048-02	類聚名義抄_天理図書館_観智院本	6354	5057	䰏	䰏	䰏	䰏										節除「際イ」二音			K0303431	音注声点無_類音注等	
F06956_01	F06956_01	30-048-02	類聚名義抄_天理図書館_観智院本	6355	5058	鬄	鬄	鬄	鬄									徒計反				K0303432	音注声点無_反切	
F06957_01	F06957_01	30-048-02	類聚名義抄_天理図書館_観智院本	6356	5059	髢	髢	髢	髢									徒計反				K0303433	音注声点無_反切	
F06959_01	F06959_01	30-048-02	類聚名義抄_天理図書館_観智院本	6357	5060	鬕	鬕	鬕	鬕									莫嫁反				K0303441	音注声点無_反切	
F06960_01	F06960_01	30-048-02	類聚名義抄_天理図書館_観智院本	6358	5061	䰎	䰎	䰎	䰎									丘貴反				K0303442	音注声点無_反切	
F06962_01	F06962_01	30-048-02	類聚名義抄_天理図書館_観智院本	6359	5062	𩮙	𩮙	𩮙	𩮙									汝凶反				K0303444	音注声点無_反切	
F06963_01	F06963_01	30-048-02	類聚名義抄_天理図書館_観智院本	6360	5063	䰃	䰃	䰃	䰃									捕庚反				K0303451	音注声点無_反切	
F06964_01	F06964_01	30-048-02	類聚名義抄_天理図書館_観智院本	6361	5064	鬤	鬤	鬤	鬤										儜音			K0303452	音注声点無_類音注等	
F06964_02	F06964_02	30-048-02	類聚名義抄_天理図書館_観智院本	6362	5064	鬤	鬤	鬤	鬤										又攘音			K0303452	音注声点無_類音注等	
F06965_01	F06965_01	30-048-02	類聚名義抄_天理図書館_観智院本	6363	5065	髧	髧	髧	髧									丁敢反				K0303453	音注声点無_反切	
F06966_01	F06966_01	30-048-02	類聚名義抄_天理図書館_観智院本	6364	5066	鬝	鬝	鬝	鬝									苦點反				K0303454	音注声点無_反切	
F06967_01	F06967_01	30-048-02	類聚名義抄_天理図書館_観智院本	6365	5067	鬞	鬞	鬞	鬞									女江反				K0303461	音注声点無_反切	
F06969_01	F06969_01	30-048-02	類聚名義抄_天理図書館_観智院本	6366	5068	鬒	鬒	鬒	鬒										音軫			K0303463	音注声点無_類音注等	
F06971_01	F06971_01	30-048-02	類聚名義抄_天理図書館_観智院本	6367	5069	𩮁	𩮁	𩮁	𩮁										禿頟二音			K0303471	音注声点無_類音注等	
F06973_01	F06973_01	30-048-02	類聚名義抄_天理図書館_観智院本	6368	5070	鬡	鬡	鬡	鬡									女耕反				K0303473	音注声点無_反切	
F06975_01	F06975_01	30-048-02	類聚名義抄_天理図書館_観智院本	6369	5071	髬	髬	髬髵	髬髵			1		平	平平濁				音丕（平）			K0303481	音注声点有_類音注等	
F06975_03	F06975_03	30-048-02	類聚名義抄_天理図書館_観智院本	6370	5071	髵	髵	髬髵	髬髵			2		平濁	平平濁				音而（平濁）			K0303481	音注声点有_類音注等	
F06976_01	F06976_01	30-048-02	類聚名義抄_天理図書館_観智院本	6371	5072	鬅	鬅	鬅	鬅										音朋			K0303483	音注声点無_類音注等	
F06978_01	F06978_01	30-048-02	類聚名義抄_天理図書館_観智院本	6372	5073	𩯨	𩯨	𩯨	𩯨									女礼反				K0303511	音注声点無_反切	
F06979_01	F06979_01	30-048-02	類聚名義抄_天理図書館_観智院本	6373	5074	⿱髟普	⿱髟普	⿱髟普	⿱髟普									方于反				K0303512	音注声点無_反切	
F06979_03	F06979_03	30-048-02	類聚名義抄_天理図書館_観智院本	6374	5074	⿱髟普	⿱髟普	⿱髟普	⿱髟普										又部音			K0303512	音注声点無_類音注等	
F06980_01	F06980_01	30-048-02	類聚名義抄_天理図書館_観智院本	6375	5075	𩯌	𩯌	𩯌	𩯌									博末反				K0303513	音注声点無_反切	
F06983_01	F06983_01	30-048-02	類聚名義抄_天理図書館_観智院本	6376	5076	𩯳	𩯳	𩯳	𩯳									祖葛反				K0303522	音注声点無_反切	
F06985_01	F06985_01	30-048-02	類聚名義抄_天理図書館_観智院本	6377	5077	鬋	鬋	鬋	鬋										音前			K0303524	音注声点無_類音注等	
F06986_01	F06986_01	30-048-02	類聚名義抄_天理図書館_観智院本	6378	5078	䯸	䯸	䯸	䯸										音次			K0303531	音注声点無_類音注等	
F06987_01	F06987_01	30-048-02	類聚名義抄_天理図書館_観智院本	6379	5079	𩬙	𩬙	𩬙	𩬙										音付			K0303532	音注声点無_類音注等	
F06988_01	F06988_01	30-048-02	類聚名義抄_天理図書館_観智院本	6380	5080	䰕	䰕	䰕	䰕										音盧			K0303533	音注声点無_類音注等	
F06990_01	F06990_01	30-048-02	類聚名義抄_天理図書館_観智院本	6381	5081	䰁	䰁	䰁	䰁									補救〔牧〕反				K0303541	音注声点無_反切	
F06991_01	F06991_01	30-048-02	類聚名義抄_天理図書館_観智院本	6382	5082	⿱髟昚	⿱髟昚	⿱髟昚	⿱髟昚										音弗			K0303542	音注声点無_類音注等	
F06992_01	F06992_01	30-048-02	類聚名義抄_天理図書館_観智院本	6383	5083	𩠷	𩠷	𩠷	𩠷					入	入				音拂（入）			K0303543	音注声点有_類音注等	
F06992_01b	F06992_01	30-048-02	類聚名義抄_天理図書館_観智院本	6384	5083	拂	拂	拂	拂					入	入				音拂（入）			K0303543	音注声点有_類音注等	音注字
F06993_01	F06993_01	30-048-02	類聚名義抄_天理図書館_観智院本	6385	5085	鬃	鬃	鬃	鬃										音琮			K0303544	音注声点無_類音注等	
F06994_01	F06994_01	30-048-02	類聚名義抄_天理図書館_観智院本	6386	5086	𩯅	𩯅	𩯅	𩯅									匹宥反				K0303551	音注声点無_反切	
F06994_04	F06994_04	30-048-02	類聚名義抄_天理図書館_観智院本	6387	5086	𩯅	𩯅	𩯅	𩯅									匹六反				K0303551	音注声点無_反切	
F06995_01	F06995_01	30-048-02	類聚名義抄_天理図書館_観智院本	6388	5087	䰍	䰍	䰍	䰍										音七			K0303553	音注声点無_類音注等	
F06996_01	F06996_01	30-048-02	類聚名義抄_天理図書館_観智院本	6389	5088	髹	髹	髹	髹										音休			K0303554	音注声点無_類音注等	
F06997_01	F06997_01	30-048-02	類聚名義抄_天理図書館_観智院本	6390	5089	鬆	鬆	鬆	鬆									先容反				K0303561	音注声点無_反切	
F06998_01	F06998_01	30-048-02	類聚名義抄_天理図書館_観智院本	6391	5090	⿱髟儿	⿱髟儿	⿱髟儿	⿱髟儿									巨恭反				K0303562	音注声点無_反切	
F06999_01	F06999_01	30-048-02	類聚名義抄_天理図書館_観智院本	6392	5091	髶	髶	髶	髶										音茸			K0303563	音注声点無_類音注等	
F07000_01	F07000_01	30-048-02	類聚名義抄_天理図書館_観智院本	6393	5092	⿱髟夂	⿱髟夂	⿱髟夂	⿱髟夂									丘撿反				K0303564	音注声点無_反切	
F07001_01	F07001_01	30-048-02	類聚名義抄_天理図書館_観智院本	6394	5093	𩬻	𩬻	𩬻	𩬻									丁果反				K0303571	音注声点無_反切	
F07002_01	F07002_01	30-048-02	類聚名義抄_天理図書館_観智院本	6395	5094	鬇	鬇	鬇	鬇									士耕反				K0303572	音注声点無_反切	
F07003_01	F07003_01	30-048-02	類聚名義抄_天理図書館_観智院本	6396	5095	鬖	鬖	鬖	鬖										音次			K0303573	音注声点無_類音注等	
F07006_01	F07006_01	30-048-02	類聚名義抄_天理図書館_観智院本	6397	5096	髮	髮	髮	髮										音發			K0303582	音注声点無_類音注等	
F07006_02	F07006_02	30-048-02	類聚名義抄_天理図書館_観智院本	6398	5096	髮	髮	髮	髮							ハチ						K0303582	音注声点無_此間・俗・仮名	
F07006_03	F07006_03	30-048-02	類聚名義抄_天理図書館_観智院本	6399	5096	髮	髮	髮	髮							ホチ						K0303582	音注声点無_此間・俗・仮名	
F07010_02	F07010_02	30-048-02	類聚名義抄_天理図書館_観智院本	6400	5097	髫	髫	髫髮	髫髮			1		平	平				音迢（平）			K0303612	音注声点有_類音注等	
F07011_01	F07011_01	30-048-02	類聚名義抄_天理図書館_観智院本	6401	5098	髲	髲	髲	髲					去	去				音被（去）			K0303613	音注声点有_類音注等	
